Column1;Column2;Column3;Column4
OEO_00010098;marine current energy transformation;Hydroelectric energy transformation is a hydro energy transformation that converts hydro energy to electrical energy.;
OEO_00010099;marine tidal energy transformation;Hydroelectric energy transformation is a hydro energy transformation that converts hydro energy to electrical energy.;
OEO_00010100;marine tidal energy;Natural hydro energy is hydro energy collected from the natural water cycle (rainwater, melted snow and ice).;
OEO_00010101;tidal flow;Water flow is a process of liquid water moving.;
OEO_00010102;marine wave energy;Natural hydro energy is hydro energy collected from the natural water cycle (rainwater, melted snow and ice).;
OEO_00010103;marine wave energy transformation;Hydroelectric energy transformation is a hydro energy transformation that converts hydro energy to electrical energy.;
OEO_00010104;water body;Liquid water is water that has a liquid state of matter.;
OEO_00010105;ocean;A water body is an accumulation of liquid water of varying size on the surface of the Earth.;
OEO_00010106;wave;Water flow is a process of liquid water moving.;
OEO_00010107;ocean current;Water flow is a process of liquid water moving.;
OEO_00010108;marine current energy converting unit;A hydro power unit is a power generating unit that uses hydro energy.;
OEO_00010109;marine tidal energy converting unit;A hydro power unit is a power generating unit that uses hydro energy.;
OEO_00010110;marine wave energy converting unit;A hydro power unit is a power generating unit that uses hydro energy.;
OEO_00010111;marine current energy power plant;A hydro power plant is a power plant having an aggregate of hydro power generating units as its power generating unit parts.;
OEO_00010112;marine tidal energy power plant;A hydro power plant is a power plant having an aggregate of hydro power generating units as its power generating unit parts.;
OEO_00010113;marine wave energy power plant;A hydro power plant is a power plant having an aggregate of hydro power generating units as its power generating unit parts.;
OEO_00010114;waste thermal energy;Thermal energy is the energy that a material entity contains in the undirected motion of its constituent parts (e.g. molecules and atoms).;
OEO_00010115;economy;"A material entity consisting of multiple components that are causally integrated.
        
Editor note:
        May be replaced by a BFO class, as discussed in http://www.jbiomedsem.com/content/4/1/43";
OEO_00010116;good;"An entity that exists in full at any time in which it exists at all, persists through time while maintaining its identity and has no temporal parts.
        
Editor note:
        BFO 2 Reference: Continuant entities are entities which can be sliced to yield parts only along the spatial dimension, yielding for example the parts of your table which we call its legs, its top, its nails. ‘My desk stretches from the window to the door. It has spatial parts, and can be sliced (in space) in two. With respect to time, however, a thing is a continuant.’ [60, p. 240
        
Editor note:
        Continuant doesn't have a closure axiom because the subclasses don't necessarily exhaust all possibilites. For example, in an expansion involving bringing in some of Ceuster's other portions of reality, questions are raised as to whether universals are continuants";
OEO_00010117;good role;"A commodity role is a good role that inheres in something that is used in commerce and is exchangeable with other commodities of the same type.
        








Back to the super classes:




        role
      


          view
        




Editor note:
        BFO 2 Reference: One major family of examples of non-rigid universals involves roles, and ontologies developed for corresponding administrative purposes may consist entirely of representatives of entities of this sort. Thus ‘professor’, defined as follows,b instance_of professor at t =Def. there is some c, c instance_of professor role & c inheres_in b at t.denotes a non-rigid universal and so also do ‘nurse’, ‘student’, ‘colonel’, ‘taxpayer’, and so forth. (These terms are all, in the jargon of philosophy, phase sortals.) By using role terms in definitions, we can create a BFO conformant treatment of such entities drawing on the fact that, while an instance of professor may be simultaneously an instance of trade union member, no instance of the type professor role is also (at any time) an instance of the type trade union member role (any more than any instance of the type color is at any time an instance of the type length).If an ontology of employment positions should be defined in terms of roles following the above pattern, this enables the ontology to do justice to the fact that individuals instantiate the corresponding universals –  professor, sergeant, nurse – only during certain phases in their lives.";
OEO_00010123;effort sharing;A regulatory instrument is a policy instrument that stipulates rules made by a government (=institution) to control the way something is done.;
OEO_00010126;Annual Emission Allocation;An emission certificate is a licence that permits its holder/owner a specific emission value. An emission certificate can be traded at a CO2 market exchange.;
OEO_00010127;secondary energy production;Production is the transformation process of combining various inputs in order to create an output that is a good.;
OEO_00010130;EU emission sector division;An EU legislation sector division is a sector division that is used in EU legislation.;
OEO_00010136;distribution;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00010137;metric ton;"""A unit which is a standard measure of the amount of matter/energy of a physical object."" [Wikipedia:Wikipedia]";
OEO_00010138;carbon capture;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00010139;direct air capture;Carbon capture is a process that captures carbon dioxide from a gas.;
OEO_00010140;carbon storage;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00010141;carbon capture and storage;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00010144;solid combustion fuel;A combustion fuel is a fuel that realises its fuel role in processes that release energy in the form of heat or work by chemical reaction with other substances.;
OEO_00010145;liquid combustion fuel;A combustion fuel is a fuel that realises its fuel role in processes that release energy in the form of heat or work by chemical reaction with other substances.;
OEO_00010146;gaseous combustion fuel;A combustion fuel is a fuel that realises its fuel role in processes that release energy in the form of heat or work by chemical reaction with other substances.;
OEO_00010147;liquid fossil fuel;A fossil combustion fuel is a combustion fuel with the origin fossil.;
OEO_00010148;gaseous fossil fuel;A fossil combustion fuel is a combustion fuel with the origin fossil.;
OEO_00010149;solid renewable fuel;A renewable fuel is a fuel that has a renewable origin and an renewable energy carrier disposition;
OEO_00010150;liquid renewable fuel;A renewable fuel is a fuel that has a renewable origin and an renewable energy carrier disposition;
OEO_00010151;gaseous renewable fuel;A renewable fuel is a fuel that has a renewable origin and an renewable energy carrier disposition;
OEO_00010153;gaseous biofuel;A biofuel is a combustion fuel that has a biogenic origin.;
OEO_00010154;solid synthetic fuel;A synthetic fuel is a fuel produced from one or more portion(s) of matter using electric energy.;
OEO_00010155;gaseous synthetic fuel;A synthetic fuel is a fuel produced from one or more portion(s) of matter using electric energy.;
OEO_00010156;liquid synthetic fuel;A synthetic fuel is a fuel produced from one or more portion(s) of matter using electric energy.;
OEO_00010157;power value;A quantity value is an information content entity defined by a numeral together with a unit of measurement to quantify an entity.;
OEO_00010210;energy use;Consumption is the process of using something and thereby reducing its amount.;
OEO_00010211;non-energy use;Consumption is the process of using something and thereby reducing its amount.;
OEO_00010212;decarbonisation pathway;A policy is a plan specification that is a deliberate system of principles, rules and guidelines, adopted by an organisation to guide decision making with respect to particular situations and implemented to achieve stated goals.;
OEO_00010213;emission constraint;A constraint is a condition that has to be fulfilled within a calculation.;
OEO_00010214;biomass;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00010215;biomethane;A gas mixture is a portion of matter that is a composition of different kinds of portions of matter and that has a gaseous normal state of matter.;
OEO_00010216;power-to-gas process;A power-to-fuel process is an energy transformation that converts electrical energy to chemical energy by synthesising portions of matter into a synthetic fuel.;
OEO_00010217;power-to-methane process;A power-to-gas process is a power-to-fuel process that converts electrical energy to chemical energy by synthesising portions of matter into a gaseous synthetic fuel.;
OEO_00010218;oxygen;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00010219;water electrolysis process;Energy transformation is a transformation in which one or more certain types of energy as input result in certain types of energy as output.;
OEO_00010220;methanation;A redox reaction is a chemical reaction in which the oxidation of one reactant is coupled to the reduction of a second reactant.;
OEO_00010221;synthetic ammonia;Ammonia is a portion of matter with the chemical formula NH3. It has a gaseous normal state of matter and can act as an air pollutant. As it can be oxidised it can be used as a fuel.;
OEO_00010222;power-to-ammonia process;A power-to-gas process is a power-to-fuel process that converts electrical energy to chemical energy by synthesising portions of matter into a gaseous synthetic fuel.;
OEO_00010223;biogenic waste fuel;A waste fuel is a fuel in which the material entity is waste.;
OEO_00010224;fossil waste fuel;A waste fuel is a fuel in which the material entity is waste.;
OEO_00010225;biogenic industrial waste fuel;An industrial waste fuel is waste fuel produced by industry.;
OEO_00010226;fossil industrial waste fuel;An industrial waste fuel is waste fuel produced by industry.;
OEO_00010227;memo item;"A generically dependent continuant that is about some thing.
        
Editor note:
        2014-03-10: The use of ""thing"" is intended to be general enough to include universals and configurations (see https://groups.google.com/d/msg/information-ontology/GBxvYZCk1oc/-L6B5fSBBTQJ).
        
Editor note:
        information_content_entity 'is_encoded_in' some digital_entity in obi before split (040907). information_content_entity 'is_encoded_in' some physical_document in obi before split (040907).

Previous. An information content entity is a non-realizable information entity that 'is encoded in' some digital or physical entity.";
OEO_00010233;forecast error;A quantity value is an information content entity defined by a numeral together with a unit of measurement to quantify an entity.;
OEO_00010236;gas mixture;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00010237;liquefied natural gas;Natural gas is a gas mixture occurring in underground deposits, whether liquefied or gaseous, and consisting mainly of methane.;
OEO_00010239;gasoline fuel role;A fuel role is a role of a portion of matter that has the disposition to be an energy carrier and is used in a process that releases the carried energy by transforming the portion of matter into a different kind of portion of matter in a way that releases heat or does work.;
OEO_00010240;diesel fuel role;A fuel role is a role of a portion of matter that has the disposition to be an energy carrier and is used in a process that releases the carried energy by transforming the portion of matter into a different kind of portion of matter in a way that releases heat or does work.;
OEO_00010241;gasoline fuel;A combustion fuel is a fuel that realises its fuel role in processes that release energy in the form of heat or work by chemical reaction with other substances.;
OEO_00010242;diesel fuel;A combustion fuel is a fuel that realises its fuel role in processes that release energy in the form of heat or work by chemical reaction with other substances.;
OEO_00010243;gasoline engine;An internal combustion engine is a motor that converts chemical energy into kinetic energy using a cyclic combustion process.;
OEO_00010244;diesel engine;An internal combustion engine is a motor that converts chemical energy into kinetic energy using a cyclic combustion process.;
OEO_00010245;gasoline vehicle;An internal combustion vehicle is a vehicle that uses an internal combustion engine for propulsion.;
OEO_00010246;diesel vehicle;An internal combustion vehicle is a vehicle that uses an internal combustion engine for propulsion.;
OEO_00010247;abbreviation;"An information content entity that is a mark(s) or character(s) used as a conventional representation of another entity.
        
Editor note:
        20091104, MC: this needs work and will most probably change
        
Editor note:
        2014-03-31: We would like to have a deeper analysis of 'mark' and 'sign' in the future (see https://github.com/information-artifact-ontology/IAO/issues/154).";
OEO_00010248;heat generation process;Energy transformation is a transformation in which one or more certain types of energy as input result in certain types of energy as output.;
OEO_00010249;combustion thermal energy transformation;Energy transformation is a transformation in which one or more certain types of energy as input result in certain types of energy as output.;
OEO_00010250;study factsheet;A factsheet is a document that collects information about a specific topic in a structured way.;
OEO_00010251;OEP study factsheet;A study factsheet is a factsheet that contains information about a scenario study.;
OEO_00010252;scenario study;"A study is a project with the goal to methodologically investigate something.
        
Editor note:
        The construct 'has funding source' some ('has role' some funder) is necessary, because has funding source has the range has role some funder. This range comes from issue https://github.com/OpenEnergyPlatform/ontology/issues/850 : funding source is some kind of independent continuant, i.e. a organisation or person, that does something special (giving money). So it is anything that has role some funder.";
OEO_00010253;traction;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00010254;traction motor;A motor is an energy converting component that converts other forms of energy into kinetic energy.;
OEO_00010255;nationally determined contribution;A target description is an objective specification that contains statements about a desired future state of a system that a person or organisation commits to in a legally binding way.;
OEO_00010256;maximum value;A quantity value is an information content entity defined by a numeral together with a unit of measurement to quantify an entity.;
OEO_00010257;power capacity;A power rating is a maximum value stating the maximum power an energy converting component can convert.;
OEO_00010258;bioenergy;Chemical energy is energy that is stored in the chemical bonds of a substance, which can be released by a chemical reaction.;
OEO_00010259;measurement device;An artificial object is an object that was deliberately manufactured by humans to address a particular purpose.;
OEO_00010260;parameterisation;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00010261;model calibration;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00010262;scenario projection;"p is a process = Def. p is an occurrent that has temporal proper parts and for some time t, p s-depends_on some material entity at t. (axiom label in BFO2 Reference: [083-003])
        
Editor note:
        BFO 2 Reference: The realm of occurrents is less pervasively marked by the presence of natural units than is the case in the realm of independent continuants. Thus there is here no counterpart of ‘object’. In BFO 1.0 ‘process’ served as such a counterpart. In BFO 2.0 ‘process’ is, rather, the occurrent counterpart of ‘material entity’. Those natural – as contrasted with engineered, which here means: deliberately executed – units which do exist in the realm of occurrents are typically either parasitic on the existence of natural units on the continuant side, or they are fiat in nature. Thus we can count lives; we can count football games; we can count chemical reactions performed in experiments or in chemical manufacturing. We cannot count the processes taking place, for instance, in an episode of insect mating behavior.Even where natural units are identifiable, for example cycles in a cyclical process such as the beating of a heart or an organism’s sleep/wake cycle, the processes in question form a sequence with no discontinuities (temporal gaps) of the sort that we find for instance where billiard balls or zebrafish or planets are separated by clear spatial gaps. Lives of organisms are process units, but they too unfold in a continuous series from other, prior processes such as fertilization, and they unfold in turn in continuous series of post-life processes such as post-mortem decay. Clear examples of boundaries of processes are almost always of the fiat sort (midnight, a time of death as declared in an operating theater or on a death certificate, the initiation of a state of war)";
OEO_00010263;passenger transport;Transport is the process of moving people or goods from one place to another.;
OEO_00010264;passenger;Agent is a role of a person or organisation that directs its activity towards achieving goals.;
OEO_00010265;energy service demand for passenger-kilometre;"An energy service demand is a demand of an agent to use energy as a means to obtain or facilitate desired end services or states.
        
Editor note:
        An example is the transport demand for goods or persons (e.g. in person/tonne-kilometres). An other example is the demand for room heating or cooling.";
OEO_00010266;energy service demand for ton-kilometre;"An energy service demand is a demand of an agent to use energy as a means to obtain or facilitate desired end services or states.
        
Editor note:
        An example is the transport demand for goods or persons (e.g. in person/tonne-kilometres). An other example is the demand for room heating or cooling.";
OEO_00010267;steam reforming;A chemical reaction is a transformation that involves the interconversion of chemical species.;
OEO_00010268;emission price;A monetary value is a quantity value that states the amount of money specified in monetary units.;
OEO_00010269;CO2 price;An emission price is a monetary price of emitting a certain emission value.;
OEO_00010270;carbon tax value;A CO2 price is an emission price of emitting a certain CO2 emission value.;
OEO_00010271;CO2 emission certificate price;Emission certificate price is a monetary price of an emission certificate that allows the emission of a certain emission value.;
OEO_00010273;land vehicle;A vehicle is an artificial object that is used for transporting people or goods.;
OEO_00010274;road vehicle;A land vehicle is a vehicle that is moved by applying forces against the ground.;
OEO_00010275;motorised road vehicle;A road vehicle is a vehicle that uses roads.;
OEO_00010276;car;A motorised road vehicle is a road vehicle that has a traction motor.;
OEO_00010277;bus;A motorised road vehicle is a road vehicle that has a traction motor.;
OEO_00010278;truck;A motorised road vehicle is a road vehicle that has a traction motor.;
OEO_00010279;bicycle;A road vehicle is a vehicle that uses roads.;
OEO_00010280;train;A land vehicle is a vehicle that is moved by applying forces against the ground.;
OEO_00010281;freight train;A train is a vehicle that uses railway tracks.;
OEO_00010282;passenger train;A train is a vehicle that uses railway tracks.;
OEO_00010283;e-bike;A bicycle is a road vehicle that has two wheels and is propelled by a person.;
OEO_00010284;motorcycle;A motorised road vehicle is a road vehicle that has a traction motor.;
OEO_00010285;watercraft;A vehicle is an artificial object that is used for transporting people or goods.;
OEO_00010286;ship;A watercraft is a vehicle that is driving through water.;
OEO_00010287;passenger ship;A ship is a watercraft of significant size that is driving on the water surface.;
OEO_00010288;cargo ship;A ship is a watercraft of significant size that is driving on the water surface.;
OEO_00010289;container ship;A cargo ship is a ship that is used for freight transport.;
OEO_00010290;tank ship;A cargo ship is a ship that is used for freight transport.;
OEO_00010291;motorised vehicle;A vehicle is an artificial object that is used for transporting people or goods.;
OEO_00010292;aircraft;A vehicle is an artificial object that is used for transporting people or goods.;
OEO_00010293;airplane;An aircraft is a vehicle that is flying in the air.;
OEO_00010294;helicopter;An aircraft is a vehicle that is flying in the air.;
OEO_00010295;conventional energy;Energy is a quality of material entities which manifests as a capacity to perform work (such as causing motion or the interaction of molecules);
OEO_00010296;primary energy consumption calculation method;A methodology is a plan specification that describes processes that are part of a study.;
OEO_00010297;substitution method;A primary energy consumption calculation method is a methodology to calculate primary energy consumption.;
OEO_00010298;direct equivalent method;A primary energy consumption calculation method is a methodology to calculate primary energy consumption.;
OEO_00010299;physical method;A primary energy consumption calculation method is a methodology to calculate primary energy consumption.;
OEO_00010300;current collector;An energy converting component is an artificial object that is usually a discrete part of an energy transformation unit with the function of transforming, transferring or changing a certain type of energy.;
OEO_00010301;gas turbine vehicle;A vehicle is an artificial object that is used for transporting people or goods.;
OEO_00010302;jet fuel vehicle;A gas turbine vehicle is a vehicle that uses a gas turbine for propulsion.;
OEO_00010303;jet fuel turbine;A gas turbine is a turbine that participates in a gas turbine process. It is also called combustion turbine.;
OEO_00010304;NC/BR sector division;A CRF-based sector division is a sector division that is derived from a common reporting format.;
OEO_00010313;sectoral energy consumption;Energy use is the consumption of an energy carrier making use of the energy it carries.;
OEO_00010314;sectoral emission;emission is a process releasing by-products from human activity (e.g. production, distribution or consumption) into the environment.;
OEO_00010315;mineral oil refining process;Secondary energy production is the production of secondary energy carriers.;
OEO_00010316;mineral oil product;A fossil combustion fuel is a combustion fuel with the origin fossil.;
OEO_00010317;mineral oil;A fossil combustion fuel is a combustion fuel with the origin fossil.;
OEO_00010318;mineral oil refinery;An energy transformation unit is an artificial object that transforms, changes or transfers a certain type of energy.;
OEO_00010319;mineral oil refining sector;An energy transformation sector is a sector that covers energy production, energy transformation from primary to secondary energy and transport of energy to the demand sector.;
OEO_00010320;international transport sector;A transport sector is a sector that covers transport of people and/or goods.;
OEO_00010321;chemical energy storage function;An energy storage function is the function of an artificial object that has been engineered to contain energy for later usage whereby input energy and usable output energy are of the same type.;
OEO_00010322;electrical energy storage function;An energy storage function is the function of an artificial object that has been engineered to contain energy for later usage whereby input energy and usable output energy are of the same type.;
OEO_00010323;kinetic energy storage function;An energy storage function is the function of an artificial object that has been engineered to contain energy for later usage whereby input energy and usable output energy are of the same type.;
OEO_00010324;potential energy storage function;An energy storage function is the function of an artificial object that has been engineered to contain energy for later usage whereby input energy and usable output energy are of the same type.;
OEO_00010325;underground fuel storage object;An energy storage object is an artificial object that has the function energy storage.;
OEO_00010326;refinery gas;A gas mixture is a portion of matter that is a composition of different kinds of portions of matter and that has a gaseous normal state of matter.;
OEO_00010327;petroleum coke;"A portion of matter is an aggregate of material entities that have a state of matter.
        
Editor note:
        Portions of matter describe mass nouns like e.g. water, air and fuel. Mass nouns are uncountable, but portions of these can be quantified, like 1 glass of water, 1 m³ of air or 1 barrel of fuel. For further explanation please refer to: https://github.com/OpenEnergyPlatform/ontology/wiki/Explanation-on-mass-nouns";
OEO_00010328;OEP user;A user is an agent that employs an aid, tool or information system to achieve a goal/benefit.;
OEO_00010329;qualitist;An OEP user is a user who interacts with the Open Energy Platform.;
OEO_00010330;quantitist;An OEP user is a user who interacts with the Open Energy Platform.;
OEO_00010331;apinist;An OEP user is a user who interacts with the Open Energy Platform.;
OEO_00010332;sustainability criterion;"A directive information entity with action specifications and objective specifications as parts, and that may be concretized as a realizable entity that, if realized, is realized in a process in which the bearer tries to achieve the objectives by taking the actions specified.
        
Editor note:
        2009-03-16: provenance: a term a plan was proposed for OBI (OBI_0000344) , edited by the PlanAndPlannedProcess branch. Original definition was "" a plan is a specification of a process that is realized by an actor to achieve the objective specified as part of the plan"". It has been subsequently moved to IAO where the objective for which the original term was defined was satisfied with the definitionof this, different, term.
        
Editor note:
        2014-03-31: A plan specification can have other parts, such as conditional specifications.
        
Editor note:
        2022-01-16 Updated definition to that proposed by Clint Dowloand, IAO Issue 231.
        
Editor note:
        Alternative previous definition: a plan is a set of instructions that specify how an objective should be achieved";
OEO_00010333;material sustainability;"Material sustainability is a disposition is a material entity that conforms to some sustainability criteria.






Back to the super classes:




        disposition
      


          view
        




Editor note:
        BFO 2 Reference: Dispositions exist along a strength continuum. Weaker forms of disposition are realized in only a fraction of triggering cases. These forms occur in a significant number of cases of a similar type.";
OEO_00010334;process sustainability;A process attribute is a dependent occurrent that existentially depends on a process.;
